,PassengerId,Pclass,SibSp,Parch,Fare,Survived_predict
154,1046,3,4,2,31.3875,0.0
155,1047,3,0,0,7.55,0.0
156,1048,1,0,0,221.7792,1.0
157,1049,3,0,0,7.8542,0.0
158,1050,1,0,0,26.55,1.0
159,1051,3,0,2,13.775,0.0
160,1052,3,0,0,7.7333,0.0
161,1053,3,1,1,15.2458,0.0
162,1054,2,0,0,13.5,0.0
163,1055,3,0,0,7.0,0.0
164,1056,2,0,0,13.0,0.0
165,1057,3,1,1,22.025,0.0
166,1058,1,0,0,50.4958,1.0
167,1059,3,2,2,34.375,0.0
168,1060,1,0,0,27.7208,1.0
169,1061,3,0,0,8.9625,0.0
170,1062,3,0,0,7.55,0.0
171,1063,3,0,0,7.225,1.0
172,1064,3,1,0,13.9,0.0
173,1065,3,0,0,7.2292,0.0
174,1066,3,1,5,31.3875,0.0
175,1067,2,0,2,39.0,1.0
176,1068,2,0,0,36.75,1.0
177,1069,1,1,0,55.4417,1.0
178,1070,2,0,3,39.0,1.0
179,1071,1,0,2,83.1583,1.0
180,1072,2,0,0,13.0,0.0
181,1073,1,1,1,83.1583,1.0
182,1074,1,1,0,53.1,1.0
183,1075,3,0,0,7.75,0.0
184,1076,1,1,1,247.5208,1.0
185,1077,2,0,0,16.0,1.0
186,1078,2,0,1,21.0,1.0
187,1079,3,2,0,8.05,0.0
188,1080,3,8,2,69.55,0.0
189,1081,2,0,0,13.0,0.0
190,1082,2,1,0,26.0,1.0
191,1083,1,0,0,26.0,1.0
192,1084,3,1,1,14.5,0.0
193,1085,2,0,0,12.35,0.0
194,1086,2,0,2,32.5,1.0
195,1087,3,0,0,7.8542,0.0
196,1088,1,0,2,134.5,1.0
197,1089,3,0,0,7.775,0.0
198,1090,2,0,0,10.5,0.0
199,1091,3,0,0,8.1125,0.0
200,1092,3,0,0,15.5,0.0
201,1093,3,0,2,14.4,0.0
202,1094,1,1,0,227.525,1.0
203,1095,2,1,1,26.0,1.0
204,1096,2,0,0,10.5,0.0
205,1097,1,0,0,25.7417,1.0
206,1098,3,0,0,7.75,0.0
207,1099,2,0,0,10.5,0.0
208,1100,1,0,0,27.7208,1.0
209,1101,3,0,0,7.8958,0.0
210,1102,3,0,0,22.525,0.0
211,1103,3,0,0,7.05,0.0
212,1104,2,0,0,73.5,0.0
213,1105,2,1,0,26.0,1.0
214,1106,3,4,2,7.775,0.0
215,1107,1,0,0,42.5,1.0
216,1108,3,0,0,7.8792,0.0
217,1109,1,1,1,164.8667,1.0
218,1110,1,1,1,211.5,1.0
219,1111,3,0,0,8.05,0.0
220,1112,2,1,0,13.8583,1.0
221,1113,3,0,0,8.05,0.0
222,1114,2,0,0,10.5,0.0
223,1115,3,0,0,7.7958,0.0
224,1116,1,0,0,27.4458,1.0
225,1117,3,0,2,15.2458,0.0
226,1118,3,0,0,7.7958,0.0
227,1119,3,0,0,7.75,0.0
228,1120,3,0,0,15.1,0.0
229,1121,2,0,0,13.0,0.0
230,1122,2,0,0,65.0,0.0
231,1123,1,0,0,26.55,1.0
232,1124,3,1,0,6.4958,0.0
233,1125,3,0,0,7.8792,0.0
234,1126,1,1,0,71.2833,1.0
235,1127,3,0,0,7.8542,0.0
236,1128,1,1,0,75.25,1.0
237,1129,3,0,0,7.225,1.0
238,1130,2,1,1,13.0,1.0
239,1131,1,1,0,106.425,1.0
240,1132,1,0,0,27.7208,1.0
241,1133,2,0,2,30.0,1.0
242,1134,1,1,1,134.5,1.0
243,1135,3,0,0,7.8875,0.0
244,1136,3,1,2,23.45,0.0
245,1137,1,1,0,51.8625,1.0
246,1138,2,0,0,21.0,1.0
247,1139,2,1,1,32.5,1.0
248,1140,2,1,0,26.0,1.0
249,1141,3,1,0,14.4542,0.0
250,1142,2,1,2,27.75,1.0
251,1143,3,0,0,7.925,0.0
252,1144,1,1,0,136.7792,1.0
253,1145,3,0,0,9.325,0.0
254,1146,3,0,0,9.5,0.0
255,1147,3,0,0,7.55,0.0
256,1148,3,0,0,7.75,0.0
257,1149,3,0,0,8.05,0.0
258,1150,2,0,0,13.0,0.0
259,1151,3,0,0,7.775,0.0
260,1152,3,1,0,17.4,0.0
261,1153,3,0,0,7.8542,0.0
262,1154,2,0,2,23.0,1.0
263,1155,3,1,1,12.1833,1.0
264,1156,2,0,0,12.7375,0.0
265,1157,3,0,0,7.8958,0.0
266,1158,1,0,0,0.0,0.0
267,1159,3,0,0,7.55,0.0
268,1160,3,0,0,8.05,0.0
269,1161,3,0,0,8.6625,0.0
270,1162,1,0,0,75.2417,1.0
271,1163,3,0,0,7.75,0.0
272,1164,1,1,0,136.7792,1.0
273,1165,3,1,0,15.5,0.0
274,1166,3,0,0,7.225,1.0
275,1167,2,1,0,26.0,1.0
276,1168,2,0,0,10.5,0.0
277,1169,2,1,0,26.0,1.0
278,1170,2,1,0,21.0,1.0
279,1171,2,0,0,10.5,0.0
280,1172,3,0,0,8.6625,0.0
281,1173,3,1,1,13.775,0.0
282,1174,3,0,0,7.75,0.0
283,1175,3,1,1,15.2458,0.0
284,1176,3,1,1,20.2125,0.0
285,1177,3,0,0,7.25,0.0
286,1178,3,0,0,7.25,0.0
287,1179,1,1,0,82.2667,1.0
288,1180,3,0,0,7.2292,0.0
289,1181,3,0,0,8.05,0.0
290,1182,1,0,0,39.6,1.0
291,1183,3,0,0,6.95,0.0
292,1184,3,0,0,7.2292,0.0
293,1185,1,1,1,81.8583,1.0
294,1186,3,0,0,9.5,0.0
295,1187,3,0,0,7.8958,0.0
296,1188,2,1,2,41.5792,1.0
297,1189,3,2,0,21.6792,0.0
298,1190,1,0,0,45.5,1.0
299,1191,3,0,0,7.8542,0.0
300,1192,3,0,0,7.775,0.0
301,1193,2,0,0,15.0458,0.0
302,1194,2,0,1,21.0,1.0
303,1195,3,0,0,8.6625,0.0
304,1196,3,0,0,7.75,0.0
305,1197,1,1,1,26.55,1.0
306,1198,1,1,2,151.55,1.0
307,1199,3,0,1,9.35,1.0
308,1200,1,1,1,93.5,1.0
309,1201,3,1,0,14.1083,0.0
310,1202,3,0,0,8.6625,0.0
311,1203,3,0,0,7.225,1.0
312,1204,3,0,0,7.575,0.0
313,1205,3,0,0,7.75,0.0
314,1206,1,0,0,135.6333,1.0
315,1207,3,0,0,7.7333,0.0
316,1208,1,1,0,146.5208,1.0
317,1209,2,0,0,10.5,0.0
318,1210,3,0,0,7.8542,0.0
319,1211,2,2,0,31.5,1.0
320,1212,3,0,0,7.775,0.0
321,1213,3,0,0,7.2292,0.0
322,1214,2,0,0,13.0,0.0
323,1215,1,0,0,26.55,1.0
324,1216,1,0,0,211.3375,1.0
325,1217,3,0,0,7.05,0.0
326,1218,2,2,1,39.0,1.0
327,1219,1,0,0,79.2,1.0
328,1220,2,1,0,26.0,1.0
329,1221,2,0,0,13.0,0.0
330,1222,2,0,2,36.75,1.0
331,1223,1,0,0,29.7,1.0
332,1224,3,0,0,7.225,1.0
333,1225,3,1,1,15.7417,1.0
334,1226,3,0,0,7.8958,0.0
335,1227,1,0,0,26.0,1.0
336,1228,2,0,0,13.0,0.0
337,1229,3,0,2,7.2292,1.0
338,1230,2,0,0,31.5,1.0
339,1231,3,0,0,7.2292,0.0
340,1232,2,0,0,10.5,0.0
341,1233,3,0,0,7.5792,0.0
342,1234,3,1,9,69.55,0.0
343,1235,1,0,1,512.3292,1.0
344,1236,3,1,1,14.5,0.0
345,1237,3,0,0,7.65,0.0
346,1238,2,0,0,13.0,0.0
347,1239,3,0,0,7.2292,0.0
348,1240,2,0,0,13.5,0.0
349,1241,2,0,0,21.0,1.0
350,1242,1,0,1,63.3583,1.0
351,1243,2,0,0,10.5,0.0
352,1244,2,0,0,73.5,0.0
353,1245,2,1,2,65.0,1.0
354,1246,3,1,2,20.575,1.0
355,1247,1,0,0,26.0,1.0
356,1248,1,2,0,51.4792,1.0
357,1249,3,0,0,7.8792,0.0
358,1250,3,0,0,7.75,0.0
359,1251,3,1,0,15.55,0.0
360,1252,3,8,2,69.55,0.0
361,1253,2,1,1,37.0042,1.0
362,1254,2,0,0,21.0,1.0
363,1255,3,0,0,8.6625,0.0
364,1256,1,1,0,55.4417,1.0
365,1257,3,1,9,69.55,0.0
366,1258,3,1,0,14.4583,0.0
367,1259,3,0,0,39.6875,0.0
368,1260,1,0,1,59.4,1.0
369,1261,2,0,0,13.8583,0.0
370,1262,2,1,0,11.5,0.0
371,1263,1,0,0,134.5,1.0
372,1264,1,0,0,0.0,0.0
373,1265,2,0,0,13.0,0.0
374,1266,1,1,1,81.8583,1.0
375,1267,1,0,0,262.375,1.0
376,1268,3,2,0,8.6625,0.0
377,1269,2,0,0,11.5,0.0
378,1270,1,0,0,50.0,1.0
379,1271,3,4,2,31.3875,0.0
380,1272,3,0,0,7.75,0.0
381,1273,3,0,0,7.8792,0.0
382,1274,3,0,0,14.5,0.0
383,1275,3,1,0,16.1,0.0
384,1276,2,0,0,12.875,0.0
385,1277,2,1,2,65.0,1.0
386,1278,3,0,0,7.775,0.0
387,1279,2,0,0,13.0,0.0
388,1280,3,0,0,7.75,0.0
389,1281,3,3,1,21.075,0.0
390,1282,1,0,0,93.5,1.0
391,1283,1,0,1,39.4,1.0
392,1284,3,0,2,20.25,1.0
393,1285,2,0,0,10.5,0.0
394,1286,3,3,1,22.025,0.0
395,1287,1,1,0,60.0,1.0
396,1288,3,0,0,7.25,0.0
397,1289,1,1,1,79.2,1.0
398,1290,3,0,0,7.775,0.0
399,1291,3,0,0,7.7333,0.0
400,1292,1,0,0,164.8667,1.0
401,1293,2,1,0,21.0,1.0
402,1294,1,0,1,59.4,1.0
403,1295,1,0,0,47.1,1.0
404,1296,1,1,0,27.7208,1.0
405,1297,2,0,0,13.8625,0.0
406,1298,2,1,0,10.5,0.0
407,1299,1,1,1,211.5,1.0
408,1300,3,0,0,7.7208,0.0
409,1301,3,1,1,13.775,0.0
410,1302,3,0,0,7.75,0.0
411,1303,1,1,0,90.0,1.0
412,1304,3,0,0,7.775,0.0
413,1305,3,0,0,8.05,0.0
414,1306,1,0,0,108.9,1.0
415,1307,3,0,0,7.25,0.0
416,1308,3,0,0,8.05,0.0
417,1309,3,1,1,22.3583,0.0
